File,User input,isGibberish() Output
101.txt," I’m deciding which courses to enroll in and I’m not sure what to take
",False
101.txt," I want to make sure that I have enough units, but I also don’t want to take too many classes
",False
101.txt," I don’t graduate from college
",False
101.txt," 2
",True
101.txt," yes
",False
101.txt," thanks, you too!
",True
101.txt," I have to move out today
",False
101.txt," I need to move all of my things out of my room, so I have to pack and clean up everything
",False
101.txt," it’s pretty bid
",False
101.txt," yes
",False
101.txt," no
",False
101.txt," yes
",False
101.txt," I think it’s realistic
",False
101.txt," yes-
",True
101.txt," ok!
",True
101.txt," A person who is very stressful is visiting
",False
101.txt," Spending time with this person can be very intense, since she is emotional and can get upset very easily
",False
101.txt," I’m done
",True
101.txt," Spending more time with this person helps her be less reactive
",False
101.txt," yes
",False
102.txt," I am worrying about finding a coherent topic for a research paper that I want to get published.
",False
102.txt," It doesn’t have a clear direction yet so I’m worried it may not be able to offer any value
",False
102.txt," Pretty big since the deadline is coming soon
",False
102.txt," Yes I would receive more credits as a CS student
",False
102.txt," No this is the first time I have encountered this problem
",False
102.txt," the main problem comes down to finding a connection among those ideas and now i’m still trying to do that
",False
102.txt," maybe i can try looking into related papers and find new directions
",False
102.txt," the result is uncertain but i can at least know about this area
",False
102.txt," time constraint is a real problem but i will try my best
",False
102.txt," i learn nothing from the readings
",False
102.txt," Sure
",True
102.txt," thanks
",False
102.txt," I’m stressed out about how to connect the many ideas in my research topic together
",False
102.txt," So far we only have a lot of experimental results without theories to back them up
",False
102.txt," I think it’s not too big but if we can find a way to solve it we can publish a paper and add value to the field
",False
102.txt," Yes definitely
",True
102.txt," No this is the first time I have encountered this problem
",False
102.txt," It’s hard for me to know where to start
",False
102.txt," I don’t have any idea in mind right now
",False
102.txt," No I don’t know how to do that
",False
102.txt," I’m stressed out about finishing my research on time since there are still many experiments to run
",False
102.txt," the problem is time constraint. There are still many tasks to do while time is running out
",False
102.txt," Not really big for others but for me it’s relatively important
",False
102.txt," Yeah I will have more value-added results to present to others
",False
102.txt," No. This is the first time I encountered this problem
",False
102.txt," I don’t think so. Time is the only thing i need and there is not much I can do
",False
103.txt," Hello
",True
103.txt," Not having a solid friend network
",False
103.txt," i want to make more friends
",False
103.txt," I have a lot of good friends from back home
",False
103.txt," I have a number of people I enjoy spending time with that I am living with next year.
",False
103.txt," Hi
",True
103.txt," I’ve been looking for a car to buy
",False
103.txt," Can’t find any cars within my budget and time is running out
",False
103.txt," Ok
",False
103.txt," I’m glad I’m fortunate enough to consider buying a car
",False
103.txt," I’m glad I have a car I can drive currently
",False
103.txt," Yes but it doesn’t help
",False
103.txt," hello
",False
103.txt," Convincing my parents to let me buy a car
",False
103.txt," I have found a car and now I am interested in buying it, but I need to convince my parents
",False
103.txt," Ok
",False
103.txt," My parents are just being protective because they care
",False
103.txt," Nope
",True
104.txt," hi
",False
104.txt," I’m slightly stressed about accomplishing something meaningful before my internship is over.
",False
104.txt," Well the first few weeks I spend mostly understanding how everything worked, and not really contributing. Since then I have attempted to contribute in a meaningful way but I’ve only hit dead ends.
",False
104.txt," It’s really not that big of a deal, I mean everyone says that this is how research works but at the same time, these people have done amazing things.
",False
104.txt," Yes, but not to a great exent.
",False
104.txt," No, I realize its not a big deal and not worth worrying about.
",False
104.txt," Bye
",True
104.txt," hi
",False
104.txt," I am slightly stressed about whether to continue working when the school year starts.
",False
104.txt," I’ve been offered the opportunity to continue my paid internship when the school year starts but taking it would require taking on a heavy workload.
",False
104.txt," I’d really not, and others would agree on that.
",True
104.txt," Sure
",True
104.txt," Last time I was in this situation, I made the wrong choice of taking on a heavier workload.
",False
104.txt," Well there really are only two options, and both have their pros and cons
",False
104.txt," Ues
",True
104.txt," Bye
",True
104.txt," hi PopBot
",True
104.txt," The fact that I haven’t really done anything during my internship and I have to present what I did in a couple weeks.
",False
104.txt," Yes, I haven’t contributed anything meaningful to my project and the end of my internship is coming up.
",False
